step,episode_reward,prompt_len
0,0.0,51
step,episode_reward,prompt_len,wm_loss
9,,,0.04888654872775078
19,,,0.021280203014612198
29,,,0.015192931517958641
39,,,0.012935880571603775
49,,,0.011749638244509697
59,,,0.011054560542106628
69,,,0.010551112703979015
79,,,0.010125342756509781
89,,,0.009724280796945095
99,,,0.009333733469247818
